,Iteration,Reward,Algorithm
139,46,0.0007317559999997769,merge_sort
140,46,0.000839092000000008,heap_sort
141,47,0.001019731999999962,quick_sort
142,47,0.0007338860000001546,merge_sort
143,47,0.0008041000000002896,heap_sort
144,48,0.0010151340000000176,quick_sort
145,48,0.0007336820000000444,merge_sort
146,48,0.0008322899999999578,heap_sort
147,49,0.001032425999999873,quick_sort
148,49,0.0007350359999998801,merge_sort
149,49,0.0008027080000002229,heap_sort
150,50,0.001022569999999945,quick_sort
151,50,0.000730654000000186,merge_sort
152,50,0.0008031059999995449,heap_sort
153,51,0.0010178120000002623,quick_sort
154,51,0.0007312040000000764,merge_sort
155,51,0.0008049919999997001,heap_sort
156,52,0.0010141619999998143,quick_sort
157,52,0.0007327299999999326,merge_sort
158,52,0.0008036479999999813,heap_sort
159,53,0.0010108880000002784,quick_sort
