,Iteration,Reward,Algorithm
69,69,0.0007309959999999904,merge_sort
70,70,0.0007613499999999363,merge_sort
71,71,0.0007293539999998444,merge_sort
72,72,0.0007286639999998811,merge_sort
73,73,0.0007309319999998109,merge_sort
74,74,0.0007393660000001034,merge_sort
75,75,0.0007296120000000173,merge_sort
76,76,0.0007312619999997594,merge_sort
77,77,0.0007298519999998376,merge_sort
78,78,0.0007623880000000582,merge_sort
79,79,0.0007345359999997214,merge_sort
80,80,0.0007310560000000522,merge_sort
81,81,0.0007290399999997987,merge_sort
82,82,0.0007564060000002115,merge_sort
83,83,0.0007296579999998443,merge_sort
84,84,0.0007348000000000354,merge_sort
85,85,0.000735790000000236,merge_sort
86,86,0.0007670639999998486,merge_sort
87,87,0.0007608719999998926,merge_sort
88,88,0.0007343160000002058,merge_sort
89,89,0.000732759999999928,merge_sort
90,90,0.000736676000000287,merge_sort
91,91,0.0007404720000000964,merge_sort
92,92,0.0007331859999999324,merge_sort
93,93,0.0007337740000001958,merge_sort
94,94,0.0007469300000002477,merge_sort
95,95,0.0007392500000000979,merge_sort
96,96,0.0007416059999995638,merge_sort
97,97,0.000745307999999909,merge_sort
98,98,0.000735130000000126,merge_sort
99,99,0.0007325479999996531,merge_sort
100,100,0.0007316800000001678,merge_sort
101,101,0.0007353460000001633,merge_sort
102,102,0.0007388319999999737,merge_sort
103,103,0.0007335100000003081,merge_sort
104,104,0.000735187999999738,merge_sort
105,105,0.00073720200000011,merge_sort
106,106,0.0007357280000003641,merge_sort
107,107,0.0007341419999994514,merge_sort
108,108,0.0007346619999995596,merge_sort
109,109,0.0008841820000000666,merge_sort
110,110,0.0007352699999997014,merge_sort
111,111,0.0007343179999996607,merge_sort
112,112,0.0007355079999997827,merge_sort
113,113,0.0007374119999997219,merge_sort
114,114,0.0007358759999996778,merge_sort
115,115,0.0007341059999995992,merge_sort
116,116,0.0007339240000000302,merge_sort
117,117,0.0007686460000003592,merge_sort
118,118,0.0007393580000002942,merge_sort
119,119,0.0008876519999995481,merge_sort
120,120,0.0007411340000001587,merge_sort
121,121,0.000733972000000449,merge_sort
122,122,0.0007345599999996466,merge_sort
123,123,0.0007361539999999423,merge_sort
124,124,0.0007326960000001748,merge_sort
125,125,0.0007376879999996789,merge_sort
126,126,0.0007338879999997516,merge_sort
127,127,0.0007315860000001351,merge_sort
128,128,0.0007354400000001249,merge_sort
129,129,0.0008869719999998437,merge_sort
130,130,0.0007315500000001407,merge_sort
131,131,0.0007527079999999842,merge_sort
132,132,0.0007316739999997424,merge_sort
133,133,0.0007332960000005073,merge_sort
134,134,0.0007328320000006272,merge_sort
135,135,0.0007344579999997336,merge_sort
136,136,0.0007311860000000081,merge_sort
137,137,0.0007316880000001901,merge_sort
138,138,0.0007304100000008873,merge_sort
139,139,0.0008784760000000347,merge_sort
